Data,Fund,Equity,Volatility,Gold,Oil,Aggr,CvArb,CTA,Distress,EqLS,EqMN,ED,FiArb,Macro,MergerArb,Multi,Regime
1/31/09,0.0093,-0.104516173,0.121,0.049456768,-0.065470852,0.007058,-0.025014,0.014885,0.02994,0.000481,-0.003062,-0.001402,0.056635,-0.011169,0.001904,-0.008981,Stress
2/28/09,-0.0288,-0.109938605,0.03367529,0.015313275,0.073896353,-0.017421,-0.017141,-0.009161,0.007544,-0.002021,0.002485,-0.014587,0.027629,-0.035992,-0.01087,-0.024623,Normal 
3/31/09,-0.0062,0.075006866,-0.04768069,-0.020074349,0.109472744,-0.004117,0.045903,0.015291,0.010469,-0.002195,0.000045,0.020403,0.023241,0.032576,0.006592,0.032719,Normal 
4/30/09,0.0002,0.084977844,-0.173085637,-0.034576198,0.029399919,0.041764,0.088702,0.043973,0.026476,-0.002528,0.004331,0.042724,0.042776,0.063763,0.039502,0.034205,Bull Market 
5/31/09,-0.0653,0.097776415,-0.207671233,0.098910969,0.297143975,0.056281,0.110736,0.052328,0.038846,0.010614,0.007448,0.05566,0.05553,0.066464,0.036739,0.051797,Stress
6/30/09,-0.0069,-0.017634336,-0.088865837,-0.052819779,0.05398884,0.018054,0.002489,0.012887,0.01266,-0.002339,0.017248,0.003655,0.034699,0.006788,-0.004403,0.019849,Normal 
7/31/09,-0.0098,0.084265906,-0.016318786,0.028691619,-0.006295607,0.02682,0.050529,0.032616,0.028035,0.000776,-0.00667,0.029707,0.07143,0.045478,0.02108,0.021933,Bull Market 
8/31/09,-0.1622,0.029467726,0.003472222,-0.002097096,0.007343413,0.031531,0.017446,0.025138,0.018466,-0.001727,-0.002342,0.017831,0.038019,0.025015,0.039612,0.015008,Normal 
9/30/09,0.0682,0.0330706,-0.0153787,0.059157297,0.009291023,0.044875,0.049397,0.035352,0.026907,0.007353,-0.0103,0.03192,0.041785,0.039308,0.029217,0.003896,Bull Market 
10/31/09,-0.1449,-0.016985326,0.198360016,0.031448413,0.090497097,0.018862,0.009642,0.000521,0.007933,0.00298,-0.015608,-0.000611,0.013167,-0.01419,-0.01372,-0.006616,Normal 
11/30/09,0.1454,0.052623025,-0.201368524,0.136000769,0.003636364,0.019727,0.015678,0.015856,0.011323,0.001147,-0.00927,0.013309,0.014734,0.020589,-0.002984,-0.004471,Normal 
12/31/09,-0.0998,-0.000903578,-0.115463076,-0.072728812,0.026915114,0.031174,0.025288,0.020156,0.013885,-0.003336,0.001989,0.018424,0.019266,0.027139,0.014328,0.017656,Bull Market 
1/31/10,0.0073,-0.045282738,0.135608856,-0.011139518,-0.081527218,0.02481,-0.013022,0.006924,0.011204,0.000599,0.043065,-0.004117,0.008101,-0.019639,0.00372,0.0042,Normal 
2/28/10,-0.0419,0.014317291,-0.207961007,0.032594645,0.092879682,0.003284,0.001638,0.00853,0.00646,0.003227,-0.019186,0.007632,0.004283,0.015662,-0.002438,-0.001283,Normal 
3/31/10,-0.0436,0.05574952,-0.097948718,-0.004471072,0.051468742,0.036137,0.049992,0.02783,0.015936,0.007129,0.01131,0.028179,0.018064,0.039409,0.020388,0.030864,Bull Market 
4/30/10,-0.0473,-0.011109805,0.253553155,0.060001796,0.028533906,0.031504,0.013527,0.013045,0.009149,0.006793,-0.018248,0.01265,0.022065,0.020889,0.000247,0.017793,Normal 
5/31/10,0.0033,-0.097033291,0.454421769,0.027201085,-0.141381312,-0.028638,-0.054822,-0.025292,-0.017796,0.008487,0.005418,-0.032318,-0.017044,-0.050562,-0.034484,-0.040256,Stress
6/30/10,0.0257,-0.042807818,0.077019021,0.027470714,0.02244153,-0.015001,-0.002201,-0.010644,-0.00584,-0.004777,0.004413,-0.010456,-0.00068,-0.029209,-0.008827,-0.018171,Normal 
7/31/10,-0.054,0.087907385,-0.319629415,-0.051224408,0.043897924,0.014915,0.031532,0.011938,0.015439,0.006467,-0.000204,0.019338,0.017316,0.030107,0.013994,0.008141,Bull Market 
8/31/10,0.251,-0.043021263,0.108510638,0.056359482,-0.089043699,-0.009503,0.000516,-0.005351,0.005626,-0.006827,0.015319,-0.00402,0.013848,-0.022793,-0.003782,-0.012487,Normal 
9/30/10,-0.0406,0.081670361,-0.090211132,0.047664824,0.111929922,0.020975,0.048757,0.025549,0.019439,0.010561,0.027319,0.034738,0.01444,0.059333,0.02453,0.023205,Normal 
10/31/10,-0.0542,0.028643834,-0.105485232,0.037696896,0.018256846,0.019804,0.022933,0.016609,0.019945,0.004397,0.044978,0.019839,0.020867,0.03082,0.019578,0.007908,Bull Market 
11/30/10,-0.1249,-0.022244171,0.110377358,0.020558544,0.032911703,0.001227,-0.003248,0.00399,0.003794,-0.00843,-0.026539,0.00507,0.000187,0.012533,0.007001,0.012341,Stress
12/31/10,-0.0401,0.073881863,-0.245964316,0.026064982,0.086434431,0.03475,0.025881,0.024,0.020264,0.006524,0.026903,0.029286,0.014509,0.053697,0.028714,0.033431,Bull Market 
