STOCKS,Start,End,Ret
CMA,46.84,51.32,0.09564474807856516
CMCSA,58.01,60.14,0.03671780727460794
CME,88.65,93.06,0.049746192893400876
CMG,684.51,604.99,-0.11617069144351433
CMI,144.17,131.19,-0.09003260040230276
CMS,34.75,31.84,-0.0837410071942446
CNP,23.43,19.03,-0.18779342723004688
CNX,33.81,21.74,-0.3569949719018043
COF,82.55,87.97,0.0656571774682011
COG,29.61,31.54,0.06518068220195872
COH,37.56,34.61,-0.07854100106496276
COL,84.48,92.35,0.09315814393939381
COP,69.06,61.41,-0.11077324066029548
COST,141.75,135.06,-0.047195767195767124
COV,102.28,106.71,0.04331247555729356
CPB,44.0,47.65,0.0829545454545455
CRM,59.31,69.63,0.17400101163378845
CSC,63.05,65.64,0.04107850911974631
CSCO,27.815,27.46,-0.012762897717059185
CSX,36.23,32.65,-0.09881313828319072
CTAS,78.44,84.59,0.07840387557368689
CTL,39.58,29.38,-0.2577059120768065
CTSH,52.66,61.09,0.16008355488036474
CTXS,63.8,70.16,0.09968652037617565
CVC,20.64,23.94,0.15988372093023262
CVS,96.31,104.88,0.08898349081092305
CVX,112.18,96.47,-0.14004278837582462
D,76.9,66.87,-0.13042912873862156
DD,73.94,63.95,-0.13510954828239108
DE,88.47,97.05,0.09698202780603582
DF,19.38,16.17,-0.16563467492260053
DFS,65.49,57.62,-0.12017101847610323
DG,70.7,77.74,0.0995756718528995
DGX,67.06,72.52,0.08141962421711879
DHI,25.29,27.36,0.08185053380782925
DHR,85.71,85.59,-0.0014000700035000646
DIS,94.19,114.14,0.2118059241957746
DISCA,34.45,33.26,-0.03454281567489126
DLTR,70.38,78.99,0.12233589087809027
DNB,120.96,122.0,0.008597883597883715
DNR,8.13,6.36,-0.21771217712177127
DO,36.71,25.81,-0.2969218196676655
DOV,71.72,70.18,-0.021472392638036686
DOW,45.61,51.17,0.1219030914273187
DPS,71.68,72.9,0.01702008928571419
DRI,58.63,71.08,0.21234862698277324
DTE,86.37,74.64,-0.13581104550191048
DTV,86.7,92.79,0.07024221453287205
DUK,83.54,70.62,-0.15465645199904243
DVA,75.74,79.47,0.049247425402693557
DVN,61.21,59.49,-0.0280999836628002
EA,47.015,66.5,0.4144421992980962
EBAY,56.12,60.24,0.07341411261582342
ECL,104.52,113.07,0.08180252583237646
ED,66.01,57.88,-0.12316315709740955
EFX,80.87,97.09,0.20056881414616057
EIX,65.48,55.58,-0.15119120342089198
EL,76.2,86.66,0.13727034120734904
EMC,29.74,26.39,-0.11264290517821107
EMN,75.86,81.82,0.07856577906670181
EMR,61.73,55.43,-0.10205734650899068
EOG,92.07,87.55,-0.04909308135114587
EQR,71.84,70.17,-0.023246102449888673
EQT,75.7,81.34,0.07450462351387044
ESRX,84.67,88.94,0.050431085390338914
ESV,29.95,22.27,-0.2564273789649416
ETFC,24.255,29.95,0.23479694908266335
ETN,67.96,67.49,-0.00691583284284869
ETR,87.48,70.5,-0.19410150891632372
EW,127.38,142.43,0.11815041607787724
EXC,37.08,31.42,-0.15264293419633213
EXPD,44.61,46.105,0.03351266532167663
EXPE,85.36,109.35,0.2810449859418931
F,15.5,15.01,-0.031612903225806455
FAST,47.56,42.18,-0.11312026913372586
FCX,23.36,18.62,-0.20291095890410948
FDO,79.21,78.81,-0.005049867440979572
FDX,173.66,170.4,-0.01877231371645738
FE,38.99,32.55,-0.16517055655296242
FFIV,130.465,120.35,-0.07753037213045655
FHN,13.58,15.67,0.15390279823269504
FII,32.93,33.49,0.017005769814758542
FIS,62.2,61.8,-0.006430868167202619
FISV,70.97,82.83,0.1671128645906721
FITB,20.375,20.82,0.02184049079754602
FLIR,32.31,30.82,-0.04611575363664511
FLR,60.63,53.01,-0.12568035625927765
FLS,59.83,52.66,-0.11983954537857266
FMC,57.03,52.55,-0.07855514641416805
FOSL,110.74,69.36,-0.373668051291313
FSLR,44.595,46.98,0.05348133198789107
FTI,46.84,41.49,-0.11421861656703669
FTR,6.67,4.95,-0.2578710644677661
GAS,54.51,46.56,-0.1458447991194276
GCI,31.93,13.99,-0.5618540557469465
GD,137.62,141.69,0.02957418979799442
GE,25.27,26.57,0.05144440047487131
GILD,94.26,117.08,0.2420963293019307
GIS,53.33,55.72,0.0448153009563097
GLW,22.93,19.73,-0.13955516790231137
GME,33.8,42.96,0.2710059171597634
GNW,8.5,7.57,-0.10941176470588232
GOOG,526.4,520.51,-0.011189209726443772
GPC,106.57,89.53,-0.1598949047574364
GPS,42.11,38.17,-0.09356447399667533
GS,193.83,208.79,0.07718103492751371
GT,28.57,30.15,0.05530276513825694
GWW,254.89,236.65,-0.0715602809054886
HAL,39.33,43.07,0.0950928044749555
HAR,106.71,118.94,0.11460968981351338
HAS,54.99,74.79,0.3600654664484453
HBAN,10.52,11.31,0.07509505703422059
HCBK,10.12,9.88,-0.02371541501976271
HCN,75.67,65.63,-0.13268137967490423
HCP,44.03,36.47,-0.1717011128775835
HD,104.97,111.13,0.05868343336191284
HES,73.82,66.88,-0.09401246274722297
HIG,41.69,41.57,-0.002878388102662499
HOG,65.91,56.35,-0.14504627522379
HON,99.92,101.97,0.02051641313050445
HOT,81.07,81.09,0.00024670038238561176
HP,67.42,70.42,0.044497181845149836
HPQ,40.13,30.01,-0.2521804136556193
HRB,33.68,29.65,-0.1196555819477435
HRL,52.1,56.37,0.0819577735124759
HRS,71.82,76.91,0.07087162350320253
HSP,61.25,88.71,0.4483265306122448
HST,23.77,19.83,-0.16575515355490122
HSY,103.93,88.83,-0.145290099105167
HUM,143.63,191.28,0.33175520434449624
IBM,160.44,162.66,0.013836948391922288
ICE,219.29,223.61,0.019699940717771147
IFF,101.36,109.29,0.07823599052880836
IGT,17.25,17.76,0.029565217391304355
INTC,36.29,30.415,-0.1618903279140259
INTU,92.19,100.77,0.09306866254474455
